,Unnamed: 0,time,open,high,low,close,volume,RSI_14,ema_4,ema_15,macd,macdSignal,macdHist
96,96,2022-09-12 12:47:00,22352.7,22382.89,22350.84,22375.14,320.27895,64.8747027213429,22360.57111177767,22346.240663562443,19.446497444878332,17.022352005640617,2.4241454392377157
97,97,2022-09-12 12:48:00,22375.14,22424.69,22375.14,22402.45,619.0617,70.48630033479448,22377.3226670666,22353.266830617136,35.70177717658953,19.89610972424814,15.805667452341389
98,98,2022-09-12 12:49:00,22402.86,22408.54,22384.31,22391.33,357.07165,65.87170931123393,22382.92560023996,22358.024726789994,31.293588905609795,21.64956805984224,9.644020845767553
99,99,2022-09-12 12:50:00,22391.33,22397.29,22371.01,22372.44,259.4681,58.82621800976228,22378.731360143975,22359.826635941245,17.163793280160462,20.95944886296812,-3.795655582807658
100,100,2022-09-12 12:51:00,22372.44,22383.06,22367.78,22373.61,213.06862,59.117883007886384,22376.682816086384,22361.54955644859,12.180181807907502,19.608792392958794,-7.428610585051292
101,101,2022-09-12 12:52:00,22372.16,22376.18,22349.05,22352.4,346.41756,51.93551743788012,22366.969689651833,22360.405861892516,-1.6542110003356356,16.337561101682727,-17.991772102018363
102,102,2022-09-12 12:53:00,22352.4,22357.92,22342.62,22347.29,184.33289,50.3484348678549,22359.0978137911,22358.76637915595,-8.229105722686654,12.55807389793359,-20.787179620620243
103,103,2022-09-12 12:54:00,22347.01,22348.46,22324.62,22334.4,261.31463,46.489178481306645,22349.21868827466,22355.720581761456,-16.271710356017138,8.122722474248864,-24.394432830266002
104,104,2022-09-12 12:55:00,22335.43,22347.3,22325.21,22344.55,160.04599,49.75511205414698,22347.351212964797,22354.324259041274,-11.735421885110554,5.067623342039722,-16.803045227150278
105,105,2022-09-12 12:56:00,22343.48,22357.71,22341.8,22348.95,225.39399,51.14707482376423,22347.990727778877,22353.652476661115,-7.0351232703942514,3.2056623247421876,-10.240785595136439
106,106,2022-09-12 12:57:00,22349.88,22362.41,22344.94,22355.68,234.5088,53.27910788717705,22351.066436667326,22353.905917078475,-1.4625816021070932,2.48747095138076,-3.9500525534878532
107,107,2022-09-12 12:58:00,22355.68,22361.63,22349.65,22357.32,177.73577,53.80814029472889,22353.567862000396,22354.332677443665,1.1519376889154955,2.2820042956168733,-1.1300666067013778
108,108,2022-09-12 12:59:00,22358.21,22359.53,22347.54,22355.25,204.26041,52.99250357627362,22354.24071720024,22354.447342763207,0.7008488006431435,2.0387496040824535,-1.33790080343931
109,109,2022-09-12 13:00:00,22355.25,22357.52,22331.59,22333.26,257.78034,45.16089622117396,22345.848430320144,22351.798924917806,-11.219763438250084,-0.00102163319947568,-11.218741805050609
110,110,2022-09-12 13:01:00,22333.26,22345.09,22313.77,22324.19,245.9604,42.378921922975934,22337.185058192084,22348.34780930308,-18.50351689053059,-2.8475593650965707,-15.65595752543402
111,111,2022-09-12 13:02:00,22324.19,22329.22,22310.02,22318.1,238.29801,40.571712072508056,22329.55103491525,22344.566833140194,-22.21095527536818,-5.8265433512922025,-16.384411924075977
112,112,2022-09-12 13:03:00,22319.22,22319.76,22295.0,22297.65,296.92617,35.150992122035504,22316.790620949152,22338.70222899767,-32.21435256206314,-9.886206306795424,-22.32814625526772
113,113,2022-09-12 13:04:00,22297.65,22311.22,22293.64,22296.38,231.07259,34.83967513049555,22308.62637256949,22333.41195037296,-32.91805821715025,-13.429568139157706,-19.48849007799254
114,114,2022-09-12 13:05:00,22295.41,22312.73,22291.59,22303.86,200.56218,38.305406557682495,22306.719823541694,22329.71795657634,-26.205968009315256,-15.395168119181944,-10.810799890133312
115,115,2022-09-12 13:06:00,22304.53,22324.3,22302.84,22305.26,214.6953,38.959799693089295,22306.135894125015,22326.660712004297,-21.190833681779623,-16.286808974966203,-4.90402470681342
116,116,2022-09-12 13:07:00,22305.26,22325.37,22302.5,22324.06,223.32945,47.07771818325053,22313.30553647501,22326.33562300376,-7.8317207709988,-14.986026174355834,7.154305403357034
117,117,2022-09-12 13:08:00,22324.06,22334.65,22317.53,22318.79,181.20919,45.26058665204354,22315.499321885007,22325.39242012829,-6.08693519490771,-13.616935254440737,7.530000059533027
118,118,2022-09-12 13:09:00,22319.76,22331.57,22318.57,22323.34,182.65963,47.157045890599385,22318.635593131003,22325.135867612255,-2.6151584555991576,-11.92435420846511,9.309195752865952
119,119,2022-09-12 13:10:00,22322.08,22330.71,22321.22,22327.05,155.49153,48.71718187202983,22322.0013558786,22325.375134160724,0.5989244651427725,-9.997695950986973,10.596620416129745
120,120,2022-09-12 13:11:00,22327.05,22330.44,22304.41,22306.86,246.67223,41.53104737427212,22315.94481352716,22323.060742390633,-9.293800421324704,-9.889404331038932,0.595603909714228
121,121,2022-09-12 13:12:00,22305.89,22309.5,22280.08,22296.06,262.0724,38.27838552695959,22307.990888116296,22319.685649591804,-17.085583128853614,-10.99650876147196,-6.089074367381654
122,122,2022-09-12 13:13:00,22297.11,22338.85,22296.06,22333.8,289.2512,52.32869515691896,22318.314532869776,22321.44994339283,2.310175922644703,-8.949326502377088,11.259502425021791
123,123,2022-09-12 13:14:00,22332.62,22363.13,22331.17,22358.21,287.46222,58.85304040577199,22334.272719721866,22326.044950468724,20.7267128999556,-4.38378197894129,25.11049487889689
124,124,2022-09-12 13:15:00,22357.0,22359.47,22321.22,22324.48,219.08744,48.89492939145201,22330.35563183312,22325.849331660134,6.215337991183333,-2.7531481373836555,8.968486128566989
125,125,2022-09-12 13:16:00,22325.69,22327.58,22300.0,22316.14,323.09022,46.786946160555566,22324.669379099872,22324.63566520262,-2.977311470567656,-2.787634804027348,-0.18967666654030824
126,126,2022-09-12 13:17:00,22317.46,22330.1,22314.09,22325.48,256.38037,49.41705055230143,22324.993627459924,22324.74120705229,-0.3869825176880113,-2.4183036830520654,2.031321165364054
127,127,2022-09-12 13:18:00,22325.48,22340.65,22319.55,22331.99,202.33652,51.226544458056736,22327.792176475956,22325.647306170755,3.8677331813814817,-1.4512210885238273,5.3189542699053085
128,128,2022-09-12 13:19:00,22331.99,22342.89,22325.0,22341.35,178.93332,53.78632662843438,22333.215305885573,22327.61014289941,9.74507476720828,0.2712859662041893,9.47378880100409
129,129,2022-09-12 13:20:00,22341.35,22342.06,22329.42,22332.02,139.23337,50.91767051934531,22332.737183531342,22328.161375036987,5.600744579362072,1.0912026759207867,4.509541903441285
130,130,2022-09-12 13:21:00,22332.02,22351.21,22331.1,22346.85,152.56956,55.02380791757759,22338.382310118806,22330.497453157364,11.81498300693056,2.741015034537675,9.073967972392886
131,131,2022-09-12 13:22:00,22346.85,22358.31,22346.85,22350.77,240.69647,56.0699710235954,22343.337386071285,22333.031521512694,14.650653396500275,4.5732670902242285,10.077386306276047
132,132,2022-09-12 13:23:00,22351.52,22355.0,22332.36,22349.12,188.3104,55.48494599657312,22345.65043164277,22335.042581323607,13.287566762686765,5.913928578295389,7.3736381843913765
133,133,2022-09-12 13:24:00,22349.7,22357.56,22342.89,22353.46,180.97396,56.76283116902796,22348.77425898566,22337.344758658157,14.027335800677974,7.162145074046556,6.865190726631418
134,134,2022-09-12 13:25:00,22352.38,22354.34,22343.02,22347.11,210.48539,54.30639989026034,22348.108555391398,22338.565413825887,9.607505896037765,7.538354431275973,2.0691514647617915
135,135,2022-09-12 13:26:00,22346.55,22369.02,22346.53,22357.34,265.45442,57.49750826325226,22351.80113323484,22340.91223709765,12.932665621719934,8.368248460575044,4.56441716114489
136,136,2022-09-12 13:27:00,22357.97,22378.64,22326.73,22328.46,232.27119,47.42763730169954,22342.464679940902,22339.355707460443,-2.6589696239061595,6.671753370654859,-9.330722994561018
137,137,2022-09-12 13:28:00,22328.66,22337.88,22310.0,22318.85,181.02994,44.62683866704095,22333.01880796454,22336.792494027886,-12.052200283851562,3.791145116115409,-15.84334539996697
138,138,2022-09-12 13:29:00,22319.99,22348.07,22318.47,22341.62,127.6287,51.87815704595866,22336.459284778724,22337.3959322744,-1.550493560378527,2.9693545505009573,-4.519848110879485
139,139,2022-09-12 13:30:00,22343.09,22361.91,22316.36,22347.43,318.21418,53.54964955702695,22340.847570867234,22338.6501907401,4.719821142880392,3.2386571031747167,1.481164039705675
140,140,2022-09-12 13:31:00,22347.43,22363.52,22330.0,22346.83,302.54462,53.34358458185575,22343.24054252034,22339.672666897586,5.791705733343406,3.631433815508361,2.1602719178350447
141,141,2022-09-12 13:32:00,22346.83,22393.55,22346.82,22386.79,407.98205,63.43536337469074,22360.660325512203,22345.56233353539,26.898542994291347,7.210989073782667,19.68755392050868
142,142,2022-09-12 13:33:00,22388.12,22405.68,22368.25,22376.54,406.43312,59.85878831426941,22367.01219530732,22349.434541843464,25.138425492405077,9.969056215109191,15.169369277295885
143,143,2022-09-12 13:34:00,22376.93,22386.62,22368.12,22375.78,299.78432,59.59050885880697,22370.519317184393,22352.727724113032,21.99008705919914,11.818445575738414,10.171641483460727
144,144,2022-09-12 13:35:00,22375.78,22379.05,22318.26,22318.56,398.63148,43.70745634601923,22349.735590310636,22348.456758598903,-11.391440671210148,8.247693845438635,-19.63913451664878
145,145,2022-09-12 13:36:00,22318.56,22330.1,22286.57,22310.94,489.5154,42.09824648359486,22334.21735418638,22343.76716377404,-24.086420622556034,3.273214696516378,-27.35963531907241
146,146,2022-09-12 13:37:00,22312.72,22312.72,22277.24,22288.06,395.49353,37.61950530708382,22315.75441251183,22336.803768302285,-37.81551077538461,-3.048127683776081,-34.76738309160853
147,147,2022-09-12 13:38:00,22286.16,22316.37,22282.33,22311.87,415.39802,44.26473624520565,22314.200647507096,22333.6870472645,-25.721646972833696,-6.536361420554176,-19.18528555227952
148,148,2022-09-12 13:39:00,22310.64,22389.13,22309.85,22381.89,556.82115,58.32477726797617,22341.27638850426,22339.712416356437,17.402504523266543,-2.85345896765868,20.255963490925225
149,149,2022-09-12 13:40:00,22381.89,22467.35,22381.89,22443.18,734.4624,66.33116792705806,22382.037833102557,22352.645864311882,61.00170344229264,6.97041217233383,54.03129126995881
150,150,2022-09-12 13:41:00,22443.18,22454.6,22382.65,22384.82,510.36121,55.41444725108694,22383.150699861533,22356.667631272896,37.04932060180727,11.597936546098975,25.451384055708292
151,151,2022-09-12 13:42:00,22386.06,22386.32,22325.21,22334.72,419.94968,48.09641401783677,22363.778419916922,22353.924177363784,0.11647039439776563,9.831557138144943,-9.715086743747177
152,152,2022-09-12 13:43:00,22336.88,22384.99,22325.0,22349.0,457.86869,50.11843924899991,22357.867051950154,22353.308655193312,-2.9473725894713425,7.865567949280899,-10.81294053875224
153,153,2022-09-12 13:44:00,22349.0,22369.08,22336.25,22365.39,335.70082,52.41004513422134,22360.876231170092,22354.818823294147,5.170839223144867,7.450994299106124,-2.2801550759612574
154,154,2022-09-12 13:45:00,22365.38,22370.72,22328.55,22337.21,354.23963,48.30133286479699,22351.409738702056,22352.61772038238,-7.972863073049666,5.07809316492831,-13.050956237977976
155,155,2022-09-12 13:46:00,22335.85,22343.92,22310.28,22326.03,311.4196,46.735924914030974,22341.257843221232,22349.294255334582,-17.02390035212011,1.6777864699977836,-18.701686822117892
156,156,2022-09-12 13:47:00,22327.51,22362.02,22317.87,22356.12,265.4039,51.30971091325905,22347.202705932737,22350.14747341776,-2.0774088681100693,1.100064110288883,-3.1774729783989524
